model,scenario,season_year,season,count,interval_name,variable
bcc-csm1-1,historical,2001,JJA,3,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2003,JJA,2,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2004,JJA,3,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2000,JJA,3,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2001,JJA,2,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2002,JJA,8,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2003,JJA,3,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2004,JJA,1,Tmax 26–29°C,tmax
bcc-csm1-1-m,historical,2005,JJA,1,Tmax 26–29°C,tmax
inmcm4,historical,2000,JJA,4,Tmax 26–29°C,tmax
inmcm4,historical,2001,JJA,1,Tmax 26–29°C,tmax
inmcm4,historical,2002,JJA,2,Tmax 26–29°C,tmax
inmcm4,historical,2003,JJA,6,Tmax 26–29°C,tmax
inmcm4,historical,2004,JJA,1,Tmax 26–29°C,tmax
ACCESS1-0,historical,2000,MAM,9,Tmax 26–29°C,tmax
ACCESS1-0,historical,2001,MAM,24,Tmax 26–29°C,tmax
ACCESS1-0,historical,2002,MAM,27,Tmax 26–29°C,tmax
ACCESS1-0,historical,2003,MAM,22,Tmax 26–29°C,tmax
ACCESS1-0,historical,2004,MAM,24,Tmax 26–29°C,tmax
ACCESS1-0,historical,2005,MAM,18,Tmax 26–29°C,tmax
ACCESS1-3,historical,2000,MAM,25,Tmax 26–29°C,tmax
ACCESS1-3,historical,2001,MAM,24,Tmax 26–29°C,tmax
ACCESS1-3,historical,2002,MAM,18,Tmax 26–29°C,tmax
ACCESS1-3,historical,2003,MAM,19,Tmax 26–29°C,tmax
ACCESS1-3,historical,2004,MAM,24,Tmax 26–29°C,tmax
ACCESS1-3,historical,2005,MAM,23,Tmax 26–29°C,tmax
BNU-ESM,historical,2000,MAM,17,Tmax 26–29°C,tmax
BNU-ESM,historical,2001,MAM,22,Tmax 26–29°C,tmax
BNU-ESM,historical,2002,MAM,14,Tmax 26–29°C,tmax
BNU-ESM,historical,2003,MAM,15,Tmax 26–29°C,tmax
BNU-ESM,historical,2004,MAM,16,Tmax 26–29°C,tmax
BNU-ESM,historical,2005,MAM,31,Tmax 26–29°C,tmax
CCSM4,historical,2000,MAM,13,Tmax 26–29°C,tmax
CCSM4,historical,2001,MAM,25,Tmax 26–29°C,tmax
CCSM4,historical,2002,MAM,24,Tmax 26–29°C,tmax
CCSM4,historical,2003,MAM,22,Tmax 26–29°C,tmax
CCSM4,historical,2004,MAM,15,Tmax 26–29°C,tmax
CCSM4,historical,2005,MAM,27,Tmax 26–29°C,tmax
CESM1-BGC,historical,2000,MAM,31,Tmax 26–29°C,tmax
CESM1-BGC,historical,2001,MAM,22,Tmax 26–29°C,tmax
CESM1-BGC,historical,2002,MAM,15,Tmax 26–29°C,tmax
CESM1-BGC,historical,2003,MAM,24,Tmax 26–29°C,tmax
CESM1-BGC,historical,2004,MAM,19,Tmax 26–29°C,tmax
CESM1-BGC,historical,2005,MAM,15,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2000,MAM,19,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2001,MAM,22,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2002,MAM,28,Tmax 26–29°C,tmax
