model,scenario,year,count,interval_name,variable
CanESM2,rcp26,2012,7,pr 50mm,Precipitation
CanESM2,rcp26,2013,11,pr 50mm,Precipitation
CanESM2,rcp26,2014,14,pr 50mm,Precipitation
CanESM2,rcp26,2015,8,pr 50mm,Precipitation
CanESM2,rcp26,2016,8,pr 50mm,Precipitation
CanESM2,rcp26,2017,5,pr 50mm,Precipitation
CanESM2,rcp26,2018,9,pr 50mm,Precipitation
CanESM2,rcp26,2019,10,pr 50mm,Precipitation
CanESM2,rcp26,2020,10,pr 50mm,Precipitation
CanESM2,rcp26,2021,8,pr 50mm,Precipitation
CanESM2,rcp26,2022,4,pr 50mm,Precipitation
CanESM2,rcp26,2023,10,pr 50mm,Precipitation
CanESM2,rcp26,2024,2,pr 50mm,Precipitation
CanESM2,rcp26,2025,6,pr 50mm,Precipitation
CanESM2,rcp26,2026,13,pr 50mm,Precipitation
CanESM2,rcp26,2027,16,pr 50mm,Precipitation
CanESM2,rcp26,2028,3,pr 50mm,Precipitation
CanESM2,rcp26,2029,7,pr 50mm,Precipitation
CanESM2,rcp26,2030,1,pr 50mm,Precipitation
CanESM2,rcp26,2031,22,pr 50mm,Precipitation
CanESM2,rcp26,2032,2,pr 50mm,Precipitation
CanESM2,rcp26,2033,6,pr 50mm,Precipitation
CanESM2,rcp26,2034,6,pr 50mm,Precipitation
CanESM2,rcp26,2035,8,pr 50mm,Precipitation
CanESM2,rcp26,2036,3,pr 50mm,Precipitation
FGOALS-g2,rcp26,2006,9,pr 50mm,Precipitation
FGOALS-g2,rcp26,2007,7,pr 50mm,Precipitation
FGOALS-g2,rcp26,2008,9,pr 50mm,Precipitation
FGOALS-g2,rcp26,2009,2,pr 50mm,Precipitation
FGOALS-g2,rcp26,2010,8,pr 50mm,Precipitation
FGOALS-g2,rcp26,2011,5,pr 50mm,Precipitation
FGOALS-g2,rcp26,2012,8,pr 50mm,Precipitation
FGOALS-g2,rcp26,2013,6,pr 50mm,Precipitation
FGOALS-g2,rcp26,2014,9,pr 50mm,Precipitation
FGOALS-g2,rcp26,2015,8,pr 50mm,Precipitation
FGOALS-g2,rcp26,2016,6,pr 50mm,Precipitation
FGOALS-g2,rcp26,2017,9,pr 50mm,Precipitation
FGOALS-g2,rcp26,2018,11,pr 50mm,Precipitation
FGOALS-g2,rcp26,2019,8,pr 50mm,Precipitation
FGOALS-g2,rcp26,2020,8,pr 50mm,Precipitation
FGOALS-g2,rcp26,2021,9,pr 50mm,Precipitation
FGOALS-g2,rcp26,2022,12,pr 50mm,Precipitation
FGOALS-g2,rcp26,2023,11,pr 50mm,Precipitation
FGOALS-g2,rcp26,2024,5,pr 50mm,Precipitation
FGOALS-g2,rcp26,2025,17,pr 50mm,Precipitation
FGOALS-g2,rcp26,2026,3,pr 50mm,Precipitation
FGOALS-g2,rcp26,2027,13,pr 50mm,Precipitation
FGOALS-g2,rcp26,2028,15,pr 50mm,Precipitation
FGOALS-g2,rcp26,2029,9,pr 50mm,Precipitation
FGOALS-g2,rcp26,2030,8,pr 50mm,Precipitation
FGOALS-g2,rcp26,2031,6,pr 50mm,Precipitation
FGOALS-g2,rcp26,2032,6,pr 50mm,Precipitation
FGOALS-g2,rcp26,2033,3,pr 50mm,Precipitation
FGOALS-g2,rcp26,2034,4,pr 50mm,Precipitation
FGOALS-g2,rcp26,2035,4,pr 50mm,Precipitation
FGOALS-g2,rcp26,2036,10,pr 50mm,Precipitation
GFDL-CM3,rcp26,2006,2,pr 50mm,Precipitation
GFDL-CM3,rcp26,2007,13,pr 50mm,Precipitation
GFDL-CM3,rcp26,2008,9,pr 50mm,Precipitation
GFDL-CM3,rcp26,2009,12,pr 50mm,Precipitation
GFDL-CM3,rcp26,2010,8,pr 50mm,Precipitation
GFDL-CM3,rcp26,2011,9,pr 50mm,Precipitation
GFDL-CM3,rcp26,2012,6,pr 50mm,Precipitation
GFDL-CM3,rcp26,2013,4,pr 50mm,Precipitation
GFDL-CM3,rcp26,2014,5,pr 50mm,Precipitation
GFDL-CM3,rcp26,2015,3,pr 50mm,Precipitation
GFDL-CM3,rcp26,2016,3,pr 50mm,Precipitation
GFDL-CM3,rcp26,2017,13,pr 50mm,Precipitation
GFDL-CM3,rcp26,2018,10,pr 50mm,Precipitation
GFDL-CM3,rcp26,2019,11,pr 50mm,Precipitation
GFDL-CM3,rcp26,2020,9,pr 50mm,Precipitation
GFDL-CM3,rcp26,2021,14,pr 50mm,Precipitation
GFDL-CM3,rcp26,2022,2,pr 50mm,Precipitation
GFDL-CM3,rcp26,2023,5,pr 50mm,Precipitation
GFDL-CM3,rcp26,2024,4,pr 50mm,Precipitation
GFDL-CM3,rcp26,2025,7,pr 50mm,Precipitation
GFDL-CM3,rcp26,2026,11,pr 50mm,Precipitation
GFDL-CM3,rcp26,2027,4,pr 50mm,Precipitation
GFDL-CM3,rcp26,2028,4,pr 50mm,Precipitation
GFDL-CM3,rcp26,2029,8,pr 50mm,Precipitation
GFDL-CM3,rcp26,2030,4,pr 50mm,Precipitation
GFDL-CM3,rcp26,2031,5,pr 50mm,Precipitation
GFDL-CM3,rcp26,2032,12,pr 50mm,Precipitation
GFDL-CM3,rcp26,2033,14,pr 50mm,Precipitation
GFDL-CM3,rcp26,2034,13,pr 50mm,Precipitation
GFDL-CM3,rcp26,2035,4,pr 50mm,Precipitation
GFDL-CM3,rcp26,2036,13,pr 50mm,Precipitation
GFDL-ESM2G,rcp26,2006,12,pr 50mm,Precipitation
GFDL-ESM2G,rcp26,2007,8,pr 50mm,Precipitation
GFDL-ESM2G,rcp26,2008,16,pr 50mm,Precipitation
GFDL-ESM2G,rcp26,2009,9,pr 50mm,Precipitation
GFDL-ESM2G,rcp26,2010,11,pr 50mm,Precipitation
GFDL-ESM2G,rcp26,2011,7,pr 50mm,Precipitation
GFDL-ESM2G,rcp26,2012,10,pr 50mm,Precipitation
GFDL-ESM2G,rcp26,2013,9,pr 50mm,Precipitation
GFDL-ESM2G,rcp26,2014,8,pr 50mm,Precipitation
GFDL-ESM2G,rcp26,2015,9,pr 50mm,Precipitation
GFDL-ESM2G,rcp26,2016,13,pr 50mm,Precipitation
