organism,scenario,model,bio_year,season_group,base_temp,dd_per_generation,seasonal_dd,seasonal_generation_equivalent,annual_bioyear_dd,dd_share
Cockroach,rcp85,GFDL-ESM2M,2035,May-Oct,15.9,650,1959.8718514292643,3.01518746373733,2903.3891899864334,67.5028982744963
Cockroach,rcp85,GFDL-ESM2M,2035,Nov-Apr,15.9,650,943.5173385571692,1.4515651362417987,2903.3891899864334,32.497101725503704
Cockroach,rcp85,IPSL-CM5A-LR,2006,May-Oct,15.9,650,1853.3838101052615,2.8513597078542485,2374.020542684616,78.06940912185189
Cockroach,rcp85,IPSL-CM5A-LR,2006,Nov-Apr,15.9,650,520.6367325793544,0.8009795885836222,2374.020542684616,21.930590878148102
Cockroach,rcp85,IPSL-CM5A-LR,2007,May-Oct,15.9,650,1962.8571908922918,3.0197802936804488,2578.4846218497282,76.12444822277808
Cockroach,rcp85,IPSL-CM5A-LR,2007,Nov-Apr,15.9,650,615.6274309574363,0.9471191245499021,2578.4846218497282,23.875551777221908
Cockroach,rcp85,IPSL-CM5A-LR,2008,May-Oct,15.9,650,1969.7244655837455,3.030345331667301,2499.138443275774,78.81614045366398
Cockroach,rcp85,IPSL-CM5A-LR,2008,Nov-Apr,15.9,650,529.4139776920288,0.8144830426031212,2499.138443275774,21.18385954633603
Cockroach,rcp85,IPSL-CM5A-LR,2009,May-Oct,15.9,650,2061.197938551491,3.1710737516176786,2781.8795003436016,74.09371751353369
Cockroach,rcp85,IPSL-CM5A-LR,2009,Nov-Apr,15.9,650,720.6815617921104,1.1087408642955545,2781.8795003436016,25.906282486466292
Cockroach,rcp85,IPSL-CM5A-LR,2010,May-Oct,15.9,650,2137.1627590691314,3.287942706260202,2926.050953284112,73.03915048609949
Cockroach,rcp85,IPSL-CM5A-LR,2010,Nov-Apr,15.9,650,788.8881942149806,1.213674144946124,2926.050953284112,26.960849513900502
Cockroach,rcp85,IPSL-CM5A-LR,2011,May-Oct,15.9,650,2050.053937541944,3.1539291346799136,2928.5363077860657,70.00268127431062
Cockroach,rcp85,IPSL-CM5A-LR,2011,Nov-Apr,15.9,650,878.4823702441217,1.3515113388371103,2928.5363077860657,29.997318725689375
Cockroach,rcp85,IPSL-CM5A-LR,2012,May-Oct,15.9,650,2014.889532382349,3.0998300498189986,2872.7714788014537,70.13748038263661
Cockroach,rcp85,IPSL-CM5A-LR,2012,Nov-Apr,15.9,650,857.8819464191045,1.3198183791063145,2872.7714788014537,29.862519617363393
Cockroach,rcp85,IPSL-CM5A-LR,2013,May-Oct,15.9,650,2069.232167778743,3.1834341042749896,2872.673000056219,72.03159453715226
Cockroach,rcp85,IPSL-CM5A-LR,2013,Nov-Apr,15.9,650,803.4408322774756,1.236062818888424,2872.673000056219,27.96840546284774
Cockroach,rcp85,IPSL-CM5A-LR,2014,May-Oct,15.9,650,2074.407669597814,3.191396414765868,2635.1683412702982,78.72011958817909
Cockroach,rcp85,IPSL-CM5A-LR,2014,Nov-Apr,15.9,650,560.7606716724841,0.8627087256499756,2635.1683412702982,21.27988041182091
Cockroach,rcp85,IPSL-CM5A-LR,2015,May-Oct,15.9,650,2063.888866064905,3.175213640099854,2597.4037624130365,79.45968570352396
Cockroach,rcp85,IPSL-CM5A-LR,2015,Nov-Apr,15.9,650,533.5148963481316,0.8207921482278948,2597.4037624130365,20.540314296476044
Cockroach,rcp85,IPSL-CM5A-LR,2016,May-Oct,15.9,650,2078.5496502241194,3.1977686926524913,2605.23269994399,79.7836465920609
Cockroach,rcp85,IPSL-CM5A-LR,2016,Nov-Apr,15.9,650,526.683049719871,0.8102816149536476,2605.23269994399,20.21635340793911
Cockroach,rcp85,IPSL-CM5A-LR,2017,May-Oct,15.9,650,2092.982943444919,3.219973759146029,2690.250288277554,77.79881866623501
Cockroach,rcp85,IPSL-CM5A-LR,2017,Nov-Apr,15.9,650,597.2673448326349,0.9188728382040536,2690.250288277554,22.20118133376498
Cockroach,rcp85,IPSL-CM5A-LR,2018,May-Oct,15.9,650,1930.1237944856866,2.9694212222856717,2473.9728152155994,78.0171787909271
Cockroach,rcp85,IPSL-CM5A-LR,2018,Nov-Apr,15.9,650,543.8490207299127,0.8366908011229426,2473.9728152155994,21.9828212090729
Cockroach,rcp85,IPSL-CM5A-LR,2019,May-Oct,15.9,650,2059.8107868065194,3.16893967201003,2738.791438563948,75.2087492973381
Cockroach,rcp85,IPSL-CM5A-LR,2019,Nov-Apr,15.9,650,678.9806517574284,1.0445856180883515,2738.791438563948,24.79125070266189
Cockroach,rcp85,IPSL-CM5A-LR,2020,May-Oct,15.9,650,2167.5059038981103,3.3346244675355545,2917.9478829872205,74.28185803233563
Cockroach,rcp85,IPSL-CM5A-LR,2020,Nov-Apr,15.9,650,750.4419790891104,1.1545261216755545,2917.9478829872205,25.71814196766437
Cockroach,rcp85,IPSL-CM5A-LR,2021,May-Oct,15.9,650,1976.9779553871776,3.041504546749504,2631.8162093213755,75.11838966509555
Cockroach,rcp85,IPSL-CM5A-LR,2021,Nov-Apr,15.9,650,654.8382539341977,1.0074434675910735,2631.8162093213755,24.881610334904444
Cockroach,rcp85,IPSL-CM5A-LR,2022,May-Oct,15.9,650,2017.317624523406,3.1035655761898555,2845.2191296958918,70.90201255391618
Cockroach,rcp85,IPSL-CM5A-LR,2022,Nov-Apr,15.9,650,827.9015051724857,1.2736946233422857,2845.2191296958918,29.097987446083813
Cockroach,rcp85,IPSL-CM5A-LR,2023,May-Oct,15.9,650,2125.2662877526113,3.2696404426963253,2816.3206260056477,75.4625119074901
Cockroach,rcp85,IPSL-CM5A-LR,2023,Nov-Apr,15.9,650,691.0543382530361,1.0631605203892864,2816.3206260056477,24.5374880925099
Cockroach,rcp85,IPSL-CM5A-LR,2024,May-Oct,15.9,650,1958.8132755177974,3.013558885411996,2630.9822947744483,74.45178477287034
Cockroach,rcp85,IPSL-CM5A-LR,2024,Nov-Apr,15.9,650,672.1690192566509,1.0341061834717706,2630.9822947744483,25.54821522712966
